weight,height,color,no_of_wheels,vehicle_type
1499,77,green,2,Bike
1818,139,green,4,Car
1167,60,red,2,Bike
1650,67,red,2,Bike
1162,56,white,2,Bike
1798,156,yellow,2,Bike
1375,135,blue,4,Car
1429,85,black,4,Car
952,58,black,2,Bike
1725,65,white,2,Bike
1523,140,white,2,Bike
1090,174,blue,2,Bike
1794,119,green,4,Car
1810,74,yellow,4,Car
2463,76,red,4,Car
2418,65,black,4,Car
1682,63,red,4,Car
1875,111,white,4,Car
1652,163,white,4,Car
1895,81,white,4,Car
1791,54,black,4,Car
1376,67,blue,4,Car
1632,51,yellow,4,Car
2135,66,yellow,4,Car
2232,158,black,4,Car
2436,116,white,4,Car
1190,98,red,2,Bike
2255,80,red,4,Car
1693,152,blue,4,Car
1307,180,green,4,Car
1184,165,red,2,Bike
2114,102,blue,4,Car
1827,87,yellow,4,Car
1629,167,green,4,Car
2489,54,yellow,4,Car
1010,124,black,2,Bike
1752,63,yellow,2,Bike
1598,130,blue,4,Car
990,106,green,2,Bike
1895,143,blue,4,Car
1039,175,yellow,2,Bike
1993,103,yellow,4,Car
1051,54,blue,2,Bike
1772,94,red,4,Car
1369,156,black,4,Car
2047,91,white,4,Car
2438,80,red,4,Car
1592,153,black,2,Bike
1845,69,red,4,Car
1813,106,blue,4,Car
1187,131,blue,2,Bike
1722,64,yellow,4,Car
1134,73,green,2,Bike
1559,96,red,4,Car
2012,85,blue,4,Car
1316,120,yellow,2,Bike
1146,110,yellow,2,Bike
1849,138,blue,4,Car
1726,77,green,4,Car
1561,148,yellow,2,Bike
1318,157,green,2,Bike
1013,176,red,2,Bike
2086,125,blue,4,Car
2027,106,black,4,Car
912,108,green,2,Bike
1452,52,blue,4,Car
2298,72,yellow,4,Car
1815,88,black,4,Car
1420,73,white,4,Car
862,57,white,2,Bike
1241,111,blue,2,Bike
1644,89,red,4,Car
1134,77,black,2,Bike
1836,170,green,4,Car
2183,87,blue,4,Car
2227,153,green,4,Car
2400,139,yellow,4,Car
924,113,red,2,Bike
2064,63,blue,4,Car
2193,127,black,4,Car
1853,143,yellow,4,Car
1615,64,blue,2,Bike
1414,153,blue,2,Bike
1188,60,yellow,2,Bike
879,62,white,2,Bike
1139,154,red,2,Bike
826,96,red,2,Bike
1904,168,yellow,4,Car
2015,159,blue,4,Car
2073,68,black,4,Car
1532,106,blue,2,Bike
2079,53,white,4,Car
2407,87,white,4,Car
2017,105,green,4,Car
1033,77,white,2,Bike
2071,99,yellow,4,Car
1358,143,green,2,Bike
1983,128,green,4,Car
1434,150,black,4,Car
1130,90,yellow,2,Bike
1487,70,blue,2,Bike
2277,68,yellow,4,Car
1760,127,yellow,2,Bike
2035,65,green,4,Car
2234,149,green,4,Car
889,78,black,2,Bike
861,88,white,2,Bike
1513,170,black,2,Bike
1904,150,blue,4,Car
1700,162,red,2,Bike
1707,167,white,4,Car
1905,143,green,4,Car
1467,91,green,4,Car
1562,151,blue,4,Car
1949,65,red,4,Car
2299,77,green,4,Car
2058,94,red,4,Car
2025,100,white,4,Car
2009,72,yellow,4,Car
802,83,white,2,Bike
2073,61,blue,4,Car
1537,180,red,4,Car
1212,129,white,2,Bike
826,135,black,2,Bike
2165,178,black,4,Car
2211,136,blue,4,Car
1038,118,white,2,Bike
1244,104,black,4,Car
1542,179,white,2,Bike
2443,130,blue,4,Car
1641,132,red,4,Car
945,57,yellow,2,Bike
1804,84,yellow,4,Car
1525,75,red,2,Bike
1676,138,green,4,Car
2271,100,green,4,Car
2068,172,yellow,4,Car
1248,76,red,4,Car
1805,50,yellow,4,Car
2373,124,black,4,Car
2346,112,red,4,Car
950,178,red,2,Bike
2026,157,blue,4,Car
921,143,red,2,Bike
1307,100,black,2,Bike
1545,123,white,4,Car
2283,118,green,4,Car
1866,151,black,4,Car
1915,55,white,4,Car
947,167,white,2,Bike
910,170,red,2,Bike
1538,101,blue,4,Car
988,167,white,2,Bike
1208,100,blue,2,Bike
1481,67,white,2,Bike
2100,108,white,4,Car
2152,170,black,4,Car
2420,130,green,4,Car
2257,71,black,4,Car
1963,147,black,4,Car
1919,111,yellow,4,Car
1796,54,black,4,Car
2330,151,green,4,Car
1063,112,green,2,Bike
1625,151,red,4,Car
1541,50,white,2,Bike
907,106,yellow,2,Bike
848,131,white,2,Bike
1091,104,black,2,Bike
1511,90,black,4,Car
2298,66,white,4,Car
2038,91,yellow,4,Car
2316,152,green,4,Car
1283,177,yellow,4,Car
1122,50,green,2,Bike
1782,174,black,4,Car
1334,53,yellow,2,Bike
1477,179,white,4,Car
851,120,white,2,Bike
1380,95,blue,4,Car
1582,57,black,2,Bike
932,86,blue,2,Bike
1554,166,red,2,Bike
824,172,blue,2,Bike
1504,58,green,2,Bike
2360,104,yellow,4,Car
2375,108,green,4,Car
838,59,yellow,2,Bike
1498,59,red,2,Bike
1902,176,green,4,Car
1382,56,green,4,Car
1747,168,yellow,4,Car
2313,132,black,4,Car
1901,140,green,4,Car
1572,52,red,4,Car
1778,155,blue,4,Car
1007,56,green,2,Bike
1386,79,white,4,Car
2013,129,yellow,4,Car
1379,164,red,4,Car
1018,174,black,2,Bike
1992,164,black,4,Car
1526,55,white,4,Car
1887,68,blue,4,Car
1079,57,blue,2,Bike
2273,113,blue,4,Car
2223,157,white,4,Car
2212,61,black,4,Car
810,77,red,2,Bike
2453,60,yellow,4,Car
823,144,yellow,2,Bike
1911,153,white,4,Car
1021,73,yellow,2,Bike
835,102,yellow,2,Bike
2214,54,yellow,4,Car
1735,95,green,2,Bike
1054,105,green,2,Bike
2141,97,yellow,4,Car
1273,172,green,4,Car
1157,58,yellow,2,Bike
2216,157,blue,4,Car
2233,86,green,4,Car
2132,137,blue,4,Car
1270,51,black,4,Car
1635,180,red,2,Bike
1688,65,green,4,Car
949,81,yellow,2,Bike
1143,75,black,2,Bike
1853,51,black,4,Car
1798,119,yellow,2,Bike
2035,69,blue,4,Car
2274,70,black,4,Car
2326,156,blue,4,Car
1422,80,red,4,Car
2127,132,green,4,Car
1615,68,black,2,Bike
1573,50,white,4,Car
1893,161,red,4,Car
1049,178,yellow,2,Bike
2094,167,green,4,Car
1013,101,black,2,Bike
1413,126,red,4,Car
2308,89,blue,4,Car
2228,165,red,4,Car
1841,75,yellow,4,Car
1077,131,red,2,Bike
938,170,blue,2,Bike
1364,100,green,4,Car
2184,71,green,4,Car
1517,137,blue,2,Bike
925,76,green,2,Bike
2045,65,black,4,Car
1427,89,red,4,Car
1440,177,black,4,Car
2495,158,green,4,Car
1175,97,black,2,Bike
2204,109,black,4,Car
1900,152,green,4,Car
1158,133,red,2,Bike
1971,156,yellow,4,Car
1398,110,green,4,Car
1650,92,green,4,Car
1622,67,blue,4,Car
1639,86,yellow,2,Bike
985,84,red,2,Bike
1139,165,red,2,Bike
2051,122,yellow,4,Car
2427,152,green,4,Car
1885,58,yellow,4,Car
1485,112,yellow,4,Car
1714,155,white,4,Car
2386,63,green,4,Car
885,63,blue,2,Bike
2349,155,blue,4,Car
2388,153,yellow,4,Car
1477,105,white,2,Bike
1087,108,white,2,Bike
2269,104,yellow,4,Car
1852,127,red,4,Car
1031,162,red,2,Bike
2348,109,green,4,Car
1361,171,yellow,2,Bike
2323,163,white,4,Car
2372,86,red,4,Car
1587,144,black,2,Bike
970,152,black,2,Bike
1604,131,yellow,4,Car
1927,100,green,4,Car
2006,164,blue,4,Car
872,175,yellow,2,Bike
1628,56,white,2,Bike
2284,177,red,4,Car
1029,143,red,2,Bike
1775,55,red,2,Bike
906,129,blue,2,Bike
2284,164,black,4,Car
1256,163,black,2,Bike
2022,75,yellow,4,Car
2242,73,white,4,Car
1046,134,green,2,Bike
882,79,green,2,Bike
1371,88,red,2,Bike
1242,121,black,2,Bike
2129,133,red,4,Car
1543,132,black,2,Bike
1808,155,yellow,4,Car
1476,113,green,4,Car
1069,77,black,2,Bike
1980,141,yellow,4,Car
1464,112,red,2,Bike
1533,148,blue,2,Bike
2029,83,blue,4,Car
2492,117,black,4,Car
965,111,yellow,2,Bike
1454,111,black,4,Car
2489,78,white,4,Car
1202,85,yellow,4,Car
807,114,white,2,Bike
1948,178,yellow,4,Car
2191,159,red,4,Car
2016,61,white,4,Car
2100,113,blue,4,Car
1798,85,blue,2,Bike
2235,87,yellow,4,Car
2021,100,white,4,Car
1193,108,green,2,Bike
2219,180,green,4,Car
1244,95,blue,2,Bike
1836,65,white,4,Car
1524,51,green,2,Bike
2075,60,yellow,4,Car
992,71,black,2,Bike
1449,107,yellow,4,Car
1769,53,black,2,Bike
2007,163,black,4,Car
1305,57,green,2,Bike
2317,91,white,4,Car
1202,56,green,4,Car
1969,52,red,4,Car
1018,156,red,2,Bike
2462,105,white,4,Car
1199,159,red,2,Bike
1179,124,white,2,Bike
1558,68,black,4,Car
1900,91,yellow,4,Car
2363,119,blue,4,Car
933,122,red,2,Bike
2084,76,white,4,Car
988,95,black,2,Bike
1675,143,red,4,Car
2317,160,blue,4,Car
1374,72,red,4,Car
2016,96,yellow,4,Car
1432,128,blue,4,Car
1399,167,yellow,4,Car
1771,136,yellow,4,Car
1397,98,green,4,Car
1928,69,green,4,Car
1912,115,green,4,Car
1655,106,green,4,Car
1695,88,red,4,Car
1830,122,yellow,4,Car
947,178,yellow,2,Bike
834,104,blue,2,Bike
1606,70,blue,4,Car
874,126,green,2,Bike
1485,76,yellow,4,Car
2166,125,blue,4,Car
2433,105,red,4,Car
1876,76,white,4,Car
1184,87,black,2,Bike
1262,158,white,4,Car
1150,80,green,2,Bike
1372,85,red,4,Car
1241,139,black,4,Car
2192,112,red,4,Car
1822,88,blue,4,Car
2090,140,white,4,Car
2302,86,white,4,Car
803,140,green,2,Bike
1332,121,white,2,Bike
1036,143,yellow,2,Bike
2263,101,black,4,Car
891,166,white,2,Bike
1694,118,black,4,Car
1992,176,red,4,Car
1959,62,green,4,Car
1285,61,black,2,Bike
1512,95,red,2,Bike
2288,124,blue,4,Car
1767,69,green,4,Car
2391,77,black,4,Car
1205,76,yellow,4,Car
2399,55,green,4,Car
1727,64,yellow,4,Car
1949,121,white,4,Car
1954,146,black,4,Car
1167,132,blue,2,Bike
1030,165,white,2,Bike
1791,106,green,2,Bike
1930,97,yellow,4,Car
1193,163,red,2,Bike
1167,174,red,2,Bike
1946,116,yellow,4,Car
1283,54,white,2,Bike
1926,57,red,4,Car
922,161,red,2,Bike
2329,165,red,4,Car
1628,115,blue,4,Car
2494,164,black,4,Car
1666,63,yellow,4,Car
1315,156,black,2,Bike
2473,95,red,4,Car
2152,118,green,4,Car
1032,110,yellow,2,Bike
888,140,white,2,Bike
838,73,green,2,Bike
1761,124,blue,4,Car
1311,114,white,2,Bike
1288,68,green,4,Car
2277,155,white,4,Car
1642,86,yellow,2,Bike
1595,130,blue,2,Bike
1014,88,green,2,Bike
2371,109,red,4,Car
1567,53,black,4,Car
1363,128,white,4,Car
2034,159,black,4,Car
1515,116,yellow,2,Bike
1391,139,blue,4,Car
1949,61,black,4,Car
1735,163,black,4,Car
1616,120,black,2,Bike
1823,149,white,4,Car
2127,170,white,4,Car
1957,87,blue,4,Car
2079,131,yellow,4,Car
2180,152,blue,4,Car
1199,149,blue,2,Bike
2015,166,white,4,Car
839,77,red,2,Bike
973,97,green,2,Bike
2039,63,green,4,Car
1245,86,blue,2,Bike
2065,102,white,4,Car
1667,56,blue,4,Car
2444,168,red,4,Car
2384,71,green,4,Car
1996,140,red,4,Car
1728,105,white,4,Car
1006,51,yellow,2,Bike
1197,93,green,2,Bike
2449,83,white,4,Car
1276,155,white,2,Bike
2127,92,blue,4,Car
1059,144,blue,2,Bike
2244,63,red,4,Car
1984,88,blue,4,Car
2473,118,black,4,Car
1678,138,blue,2,Bike
2261,68,yellow,4,Car
1874,76,red,4,Car
998,128,black,2,Bike
1239,127,red,2,Bike
1950,172,yellow,4,Car
2407,80,red,4,Car
1886,67,red,4,Car
2148,121,blue,4,Car
1318,136,red,4,Car
2125,179,red,4,Car
2398,101,green,4,Car
2324,154,green,4,Car
1035,100,yellow,2,Bike
1923,122,green,4,Car
1493,178,yellow,2,Bike
1178,87,black,2,Bike
891,96,blue,2,Bike
1576,80,yellow,4,Car
1688,92,blue,2,Bike
1927,89,black,4,Car
1351,74,black,4,Car
2013,75,blue,4,Car
1894,133,blue,4,Car
1305,106,red,4,Car
2359,127,yellow,4,Car
1914,139,red,4,Car
1753,103,yellow,4,Car
2083,79,black,4,Car
1914,175,green,4,Car
1843,159,green,4,Car
2160,142,yellow,4,Car
2320,68,red,4,Car
1020,136,white,2,Bike
1676,169,red,2,Bike
1986,120,black,4,Car
2234,104,yellow,4,Car
1447,70,yellow,4,Car
1864,60,white,4,Car
847,58,red,2,Bike
2232,81,black,4,Car
862,102,black,2,Bike
2129,167,white,4,Car
1788,71,green,2,Bike
1127,105,yellow,2,Bike
911,152,black,2,Bike
929,126,black,2,Bike
1872,102,green,4,Car
1345,118,yellow,2,Bike
2118,78,white,4,Car
1945,66,red,4,Car
2350,126,white,4,Car
1958,106,black,4,Car
1329,70,green,4,Car
2492,141,blue,4,Car
2221,138,blue,4,Car
1430,67,yellow,4,Car
2342,107,red,4,Car
1282,170,black,2,Bike
2272,170,yellow,4,Car
1811,107,white,4,Car
2123,88,white,4,Car
1513,72,white,4,Car
1876,80,red,4,Car
1800,64,red,4,Car
1426,111,green,4,Car
1739,179,black,4,Car
2399,151,blue,4,Car
904,179,blue,2,Bike
1917,104,blue,4,Car
1392,112,black,2,Bike
2042,126,black,4,Car
1968,113,green,4,Car
2319,168,red,4,Car
1851,160,blue,4,Car
1917,146,yellow,4,Car
1264,158,black,4,Car
2130,180,red,4,Car
1629,75,green,2,Bike
916,155,red,2,Bike
946,101,green,2,Bike
1354,158,white,2,Bike
804,70,blue,2,Bike
869,113,red,2,Bike
2263,74,green,4,Car
2292,159,black,4,Car
1258,55,white,4,Car
2135,176,black,4,Car
1468,87,blue,4,Car
1641,167,yellow,4,Car
2117,127,black,4,Car
2126,142,blue,4,Car
1729,139,red,2,Bike
829,72,red,2,Bike
957,53,blue,2,Bike
1452,71,yellow,2,Bike
2374,179,blue,4,Car
1675,100,white,2,Bike
2176,150,blue,4,Car
2364,135,yellow,4,Car
811,124,blue,2,Bike
2197,123,blue,4,Car
2117,133,red,4,Car
2474,100,green,4,Car
2209,151,black,4,Car
921,167,blue,2,Bike
980,95,green,2,Bike
1700,159,white,2,Bike
2478,156,black,4,Car
1009,78,blue,2,Bike
2253,85,black,4,Car
912,85,red,2,Bike
1209,57,white,4,Car
1901,101,blue,4,Car
1421,60,white,2,Bike
1519,159,black,4,Car
2299,96,red,4,Car
1072,177,red,2,Bike
1679,55,yellow,4,Car
938,148,red,2,Bike
915,50,black,2,Bike
1957,69,blue,4,Car
2055,71,green,4,Car
2355,88,black,4,Car
2129,102,black,4,Car
2202,79,blue,4,Car
1787,139,red,2,Bike
961,163,yellow,2,Bike
1709,90,yellow,2,Bike
2112,55,green,4,Car
1722,174,green,4,Car
2462,75,yellow,4,Car
1354,148,green,2,Bike
1495,102,blue,4,Car
1838,149,yellow,4,Car
2139,100,red,4,Car
1046,157,red,2,Bike
1866,63,white,4,Car
1054,89,yellow,2,Bike
944,116,yellow,2,Bike
1944,102,red,4,Car
1560,105,yellow,4,Car
1124,158,red,2,Bike
852,161,black,2,Bike
951,65,black,2,Bike
996,92,black,2,Bike
1566,115,yellow,4,Car
1634,122,black,2,Bike
2397,75,white,4,Car
1188,59,blue,2,Bike
1548,76,green,4,Car
832,123,red,2,Bike
1732,55,white,2,Bike
1132,76,white,2,Bike
953,88,green,2,Bike
2143,51,black,4,Car
1537,148,yellow,2,Bike
2143,77,blue,4,Car
1188,105,white,2,Bike
1365,77,yellow,4,Car
2054,56,red,4,Car
1363,157,blue,2,Bike
1067,166,green,2,Bike
2152,64,white,4,Car
1116,92,white,2,Bike
2099,133,white,4,Car
1550,88,white,2,Bike
1252,54,green,2,Bike
2214,80,red,4,Car
2452,147,blue,4,Car
1544,83,blue,4,Car
1319,68,yellow,2,Bike
2395,113,blue,4,Car
1754,171,yellow,2,Bike
2482,152,white,4,Car
1304,154,black,2,Bike
839,135,green,2,Bike
1498,112,green,2,Bike
1264,128,white,2,Bike
954,136,blue,2,Bike
2172,111,black,4,Car
1013,118,red,2,Bike
2265,50,red,4,Car
1687,133,yellow,4,Car
1563,123,yellow,2,Bike
2049,154,black,4,Car
1362,143,blue,4,Car
920,161,white,2,Bike
1657,173,blue,2,Bike
869,167,blue,2,Bike
858,82,red,2,Bike
2071,64,yellow,4,Car
1771,157,black,4,Car
1691,170,green,4,Car
2253,172,red,4,Car
1292,121,green,4,Car
1700,161,yellow,2,Bike
1330,156,green,4,Car
1166,168,yellow,2,Bike
934,140,red,2,Bike
979,102,green,2,Bike
1835,105,black,4,Car
2280,171,red,4,Car
1787,86,blue,4,Car
842,91,green,2,Bike
1318,69,red,4,Car
874,98,white,2,Bike
1718,57,blue,2,Bike
1039,123,red,2,Bike
887,138,red,2,Bike
911,180,black,2,Bike
1710,98,green,4,Car
1264,158,white,2,Bike
2045,76,red,4,Car
1492,107,yellow,2,Bike
2164,79,black,4,Car
1638,67,white,2,Bike
2285,108,black,4,Car
2208,65,green,4,Car
1561,101,yellow,4,Car
1445,51,green,2,Bike
2168,98,green,4,Car
995,127,blue,2,Bike
876,60,black,2,Bike
1111,92,red,2,Bike
1618,104,black,4,Car
1797,64,green,4,Car
923,158,black,2,Bike
1830,114,green,4,Car
2097,91,blue,4,Car
1387,177,black,4,Car
1809,149,black,4,Car
966,140,red,2,Bike
1154,127,white,2,Bike
2337,174,blue,4,Car
971,56,blue,2,Bike
1619,71,white,4,Car
1945,140,red,4,Car
1177,143,black,2,Bike
1893,155,red,4,Car
2263,104,red,4,Car
1181,71,white,2,Bike
1435,152,blue,4,Car
1522,179,green,4,Car
976,82,black,2,Bike
1080,67,yellow,2,Bike
1675,122,white,2,Bike
1613,150,green,2,Bike
1650,172,yellow,4,Car
1490,115,blue,4,Car
2322,112,white,4,Car
1164,178,yellow,2,Bike
1767,105,yellow,4,Car
2356,109,white,4,Car
1209,62,blue,4,Car
1280,67,green,2,Bike
1399,157,green,2,Bike
1451,63,blue,2,Bike
1457,119,blue,4,Car
916,80,blue,2,Bike
1458,111,black,2,Bike
1601,136,white,2,Bike
2405,62,blue,4,Car
1811,167,black,4,Car
913,90,black,2,Bike
2465,107,black,4,Car
1125,142,red,2,Bike
2036,56,white,4,Car
1312,65,white,4,Car
2472,51,blue,4,Car
2416,52,red,4,Car
2362,133,blue,4,Car
2416,60,blue,4,Car
1172,148,green,2,Bike
955,152,red,2,Bike
1393,160,yellow,2,Bike
1268,129,yellow,4,Car
1141,149,green,2,Bike
2131,99,blue,4,Car
2277,119,yellow,4,Car
1497,111,black,4,Car
1801,67,black,4,Car
1765,78,blue,2,Bike
2371,167,white,4,Car
1909,111,yellow,4,Car
1852,161,red,4,Car
1306,171,black,4,Car
2009,95,white,4,Car
1601,115,green,2,Bike
1881,95,white,4,Car
1683,176,red,4,Car
1685,164,green,2,Bike
1616,101,red,4,Car
1523,173,white,2,Bike
1927,80,white,4,Car
1043,113,black,2,Bike
2404,58,white,4,Car
2421,152,yellow,4,Car
1443,57,blue,4,Car
1365,174,yellow,4,Car
1838,135,blue,4,Car
1013,97,red,2,Bike
1822,170,red,4,Car
2173,127,red,4,Car
2321,76,green,4,Car
2165,150,red,4,Car
1730,98,green,4,Car
1096,114,white,2,Bike
1300,56,black,4,Car
997,78,white,2,Bike
2034,67,green,4,Car
2104,177,blue,4,Car
1497,154,black,2,Bike
1299,50,red,4,Car
2103,134,blue,4,Car
1198,163,white,2,Bike
2076,90,white,4,Car
1074,162,green,2,Bike
2500,110,black,4,Car
1327,154,black,4,Car
1081,92,yellow,2,Bike
867,145,yellow,2,Bike
1751,168,red,4,Car
989,134,yellow,2,Bike
2473,149,green,4,Car
1726,85,blue,4,Car
993,149,green,2,Bike
1875,81,blue,4,Car
1303,75,blue,4,Car
2163,120,blue,4,Car
1339,54,red,4,Car
1539,68,green,2,Bike
981,53,white,2,Bike
2032,76,black,4,Car
2047,140,black,4,Car
878,171,blue,2,Bike
2297,91,blue,4,Car
1832,63,black,4,Car
2390,51,yellow,4,Car
1737,51,yellow,2,Bike
2388,88,green,4,Car
1733,137,white,4,Car
2433,133,black,4,Car
1153,142,yellow,2,Bike
1705,157,black,4,Car
2425,78,red,4,Car
1644,99,yellow,4,Car
1511,79,blue,2,Bike
1301,101,yellow,2,Bike
1359,118,green,4,Car
809,112,red,2,Bike
2477,165,white,4,Car
1772,135,white,2,Bike
1120,126,green,2,Bike
1099,83,black,2,Bike
1146,176,blue,2,Bike
1948,162,red,4,Car
1109,149,blue,2,Bike
1953,100,green,4,Car
1434,142,black,2,Bike
2395,61,black,4,Car
1086,98,yellow,2,Bike
1118,128,black,2,Bike
2126,52,yellow,4,Car
1908,179,white,4,Car
1931,70,white,4,Car
1425,163,white,4,Car
1693,158,yellow,4,Car
2470,128,white,4,Car
1611,61,black,2,Bike
1722,162,green,4,Car
1573,57,black,4,Car
1043,129,red,2,Bike
1327,124,yellow,4,Car
1077,169,blue,2,Bike
1168,60,black,2,Bike
2013,170,white,4,Car
2175,51,blue,4,Car
1594,115,blue,4,Car
1076,178,red,2,Bike
2067,168,black,4,Car
1736,128,red,4,Car
1751,96,black,2,Bike
1930,116,black,4,Car
1756,108,green,4,Car
1612,119,green,2,Bike
1454,156,white,2,Bike
1103,116,white,2,Bike
1950,56,blue,4,Car
1407,108,red,2,Bike
1647,74,green,2,Bike
1716,106,yellow,2,Bike
2175,143,blue,4,Car
2349,172,black,4,Car
1886,152,black,4,Car
1518,77,yellow,4,Car
1332,94,black,2,Bike
2379,96,white,4,Car
2018,80,yellow,4,Car
1777,50,black,2,Bike
1598,109,red,2,Bike
1596,145,yellow,2,Bike
1400,125,yellow,2,Bike
1540,151,red,4,Car
2380,178,red,4,Car
2264,63,red,4,Car
1894,156,black,4,Car
2185,70,yellow,4,Car
2078,121,green,4,Car
1928,174,red,4,Car
1169,113,white,2,Bike
2325,56,yellow,4,Car
857,101,white,2,Bike
1042,139,white,2,Bike
1942,98,red,4,Car
1500,94,red,4,Car
1598,102,red,2,Bike
1011,64,blue,2,Bike
1483,130,black,4,Car
860,170,green,2,Bike
1933,139,black,4,Car
1178,81,red,2,Bike
1716,158,blue,4,Car
1311,79,blue,4,Car
1814,159,black,4,Car
1799,154,black,4,Car
2171,168,black,4,Car
1272,66,red,4,Car
939,117,blue,2,Bike
1802,92,black,4,Car
1649,147,yellow,4,Car
2263,175,yellow,4,Car
853,80,green,2,Bike
1916,173,red,4,Car
1859,145,yellow,4,Car
1496,72,yellow,2,Bike
1143,60,yellow,2,Bike
1278,151,black,4,Car
1220,81,green,2,Bike
2491,180,yellow,4,Car
2082,160,white,4,Car
1864,155,red,4,Car
2292,89,black,4,Car
2459,66,green,4,Car
1612,86,red,4,Car
1307,73,red,2,Bike
1495,128,red,4,Car
1239,68,green,2,Bike
1645,176,black,2,Bike
1289,126,red,2,Bike
1155,141,green,2,Bike
1986,141,black,4,Car
1855,79,black,4,Car
2144,64,red,4,Car
1864,158,red,4,Car
1499,132,white,2,Bike
1194,145,white,2,Bike
1353,151,white,2,Bike
1351,84,black,4,Car
2406,121,green,4,Car
2133,130,green,4,Car
2197,94,red,4,Car
2302,66,white,4,Car
902,149,red,2,Bike
2306,105,red,4,Car
1911,103,black,4,Car
1863,66,black,4,Car
1106,149,white,2,Bike
2135,151,black,4,Car
1158,168,red,2,Bike
2299,156,red,4,Car
1254,169,green,4,Car
2122,57,yellow,4,Car
1675,161,green,4,Car
1945,149,white,4,Car
2004,154,yellow,4,Car
1380,158,black,4,Car
950,178,black,2,Bike
943,137,blue,2,Bike
1709,165,red,2,Bike
1957,56,white,4,Car
1252,53,white,2,Bike
2130,79,white,4,Car
2352,129,blue,4,Car
2053,142,black,4,Car
2052,139,green,4,Car
1926,133,green,4,Car
1214,97,white,4,Car
2364,150,blue,4,Car
1862,67,white,4,Car
1412,141,red,4,Car
1921,53,green,4,Car
991,147,white,2,Bike
2255,113,green,4,Car
880,118,blue,2,Bike
1766,163,green,4,Car
1260,78,blue,4,Car
1396,176,white,4,Car
1970,129,yellow,4,Car
1912,162,red,4,Car
1811,61,black,4,Car
1858,179,blue,4,Car
1510,53,black,2,Bike
1375,86,black,4,Car
2357,139,white,4,Car
2085,99,red,4,Car
1765,135,yellow,2,Bike
1201,110,yellow,4,Car
1158,55,green,2,Bike
2447,74,blue,4,Car
1544,53,white,2,Bike
1618,64,red,4,Car
2159,155,black,4,Car
2010,79,yellow,4,Car
2184,88,red,4,Car
2196,161,blue,4,Car
2377,136,blue,4,Car
2429,81,white,4,Car
2140,150,white,4,Car
1829,55,black,4,Car
2224,142,blue,4,Car
1889,103,red,4,Car
1198,160,yellow,2,Bike
1170,120,yellow,2,Bike
2049,101,black,4,Car
2161,143,blue,4,Car
1475,130,white,4,Car
2450,115,white,4,Car
1983,97,blue,4,Car
1539,126,black,4,Car
2203,134,black,4,Car
1556,176,blue,4,Car
2234,111,yellow,4,Car
1452,156,yellow,4,Car
1851,171,blue,4,Car
1222,81,blue,4,Car
1563,104,yellow,2,Bike
2346,127,black,4,Car
1822,141,white,4,Car
1331,154,green,2,Bike
1859,51,black,4,Car
1390,160,yellow,2,Bike
2181,82,yellow,4,Car
1442,78,white,4,Car
1281,93,yellow,2,Bike
1603,178,yellow,2,Bike
1428,80,white,2,Bike
2092,76,black,4,Car
2025,107,red,4,Car
2483,153,black,4,Car
1641,96,green,4,Car
2016,115,yellow,4,Car
803,154,red,2,Bike
1154,167,yellow,2,Bike
1344,79,red,4,Car
1776,149,white,2,Bike
2229,170,green,4,Car
1785,164,white,2,Bike
1634,122,black,4,Car
1223,175,black,4,Car
1515,63,white,2,Bike
1315,60,green,2,Bike
2025,161,white,4,Car
1644,111,yellow,4,Car
2115,172,yellow,4,Car
1971,66,white,4,Car
2405,133,red,4,Car
1987,138,black,4,Car
1020,89,red,2,Bike
1674,102,red,2,Bike
1880,112,black,4,Car
1286,74,black,4,Car
2412,156,yellow,4,Car
2118,124,red,4,Car
1101,103,black,2,Bike
1840,60,blue,4,Car
1117,180,black,2,Bike
2011,178,white,4,Car
1691,67,yellow,4,Car
1300,135,red,4,Car
2364,109,red,4,Car
1457,136,green,4,Car
2145,120,blue,4,Car
2264,101,black,4,Car
2085,97,yellow,4,Car
2086,55,blue,4,Car
1892,123,blue,4,Car
1832,146,green,4,Car
1124,103,black,2,Bike
1732,162,blue,4,Car
2354,164,green,4,Car
1583,165,black,4,Car
1036,122,yellow,2,Bike
2113,152,red,4,Car
1053,71,red,2,Bike
1746,149,white,4,Car
1794,112,white,2,Bike
2192,107,white,4,Car
2471,145,red,4,Car
1368,85,white,4,Car
1901,104,black,4,Car
1683,64,black,4,Car
903,149,yellow,2,Bike
1639,148,green,4,Car
2422,100,red,4,Car
832,98,white,2,Bike
1869,54,blue,4,Car
1500,123,black,2,Bike
1729,129,white,2,Bike
1168,58,black,2,Bike
1521,93,green,2,Bike
2285,81,yellow,4,Car
1567,151,black,4,Car
1548,141,red,4,Car
2451,150,red,4,Car
2475,88,white,4,Car
1727,149,red,2,Bike
922,159,red,2,Bike
1078,158,black,2,Bike
2146,55,blue,4,Car
1531,117,black,4,Car
1704,145,green,4,Car
2028,113,black,4,Car
1471,142,black,2,Bike
2351,171,blue,4,Car
2148,98,green,4,Car
2473,50,black,4,Car
1878,78,red,4,Car
1677,60,red,2,Bike
1224,144,black,2,Bike
2115,108,black,4,Car
857,140,blue,2,Bike
1257,179,black,2,Bike
882,148,blue,2,Bike
1965,151,black,4,Car
2090,173,yellow,4,Car
